Start,Year,Month,Day,Value
2024-04-17,2024,4,17,-0.03380526036192322
2024-04-16,2024,4,16,0.03792461429840088
2024-04-15,2024,4,15,-0.002875843458973293
2024-04-14,2024,4,14,0.032324510334063916
2024-04-13,2024,4,13,-0.020441582767547928
2024-04-12,2024,4,12,0.044921241821851865
2024-04-11,2024,4,11,0.04229926387179894
2024-04-10,2024,4,10,0.005710922457840439
2024-04-09,2024,4,9,-0.018830459265883448
2024-04-08,2024,4,8,0.034563550888529804
2024-04-07,2024,4,7,-0.03181408412743281
2024-04-06,2024,4,6,-0.006997893968383906
2024-04-05,2024,4,5,-0.01426705637759973
2024-04-04,2024,4,4,0.007807943471966894
2024-04-03,2024,4,3,-0.035489852053311566
2024-04-02,2024,4,2,-0.009516465629113569
2024-04-01,2024,4,1,0.06338742881297144
2024-03-31,2024,3,31,0.021082562364345137
2024-03-30,2024,3,30,-0.021892857285429557
2024-03-29,2024,3,29,0.0025191143532570237
2024-03-28,2024,3,28,0.012126797256421185
2024-03-27,2024,3,27,-0.01672817068921617
2024-03-26,2024,3,26,0.007595432798407131
2024-03-25,2024,3,25,-0.0022574714885550407
2024-03-24,2024,3,24,-0.03872423825182736
2024-03-23,2024,3,23,-0.045774476907739725
2024-03-22,2024,3,22,-0.010491024400062443
2024-03-21,2024,3,21,0.029581881133259103
2024-03-20,2024,3,20,0.03567237321776773
2024-03-19,2024,3,19,-0.09052832630784557
2024-03-18,2024,3,18,0.08842646441989643
2024-03-17,2024,3,17,0.013765526564945674
2024-03-16,2024,3,16,-0.05023671442527977
2024-03-15,2024,3,15,0.06300408387265222
2024-03-14,2024,3,14,0.026961740945878887
2024-03-13,2024,3,13,0.022912102548483304
2024-03-12,2024,3,12,-0.022331722037986168
2024-03-11,2024,3,11,0.008645137751047471
2024-03-10,2024,3,10,-0.04459909281572649
2024-03-09,2024,3,9,-0.006345713632516237
2024-03-08,2024,3,8,-0.004545473675818812
2024-03-07,2024,3,7,-0.019230580421917054
2024-03-06,2024,3,6,-0.011525751844501997
2024-03-05,2024,3,5,-0.03329936389625843
2024-03-04,2024,3,4,0.06413618806943688
2024-03-03,2024,3,3,-0.07784652691363547
2024-03-02,2024,3,2,-0.017521389415719568
2024-03-01,2024,3,1,0.007664409212114975
2024-02-29,2024,2,29,-0.019801663804821956
2024-02-28,2024,2,28,0.02006106873520963
